NEE,PAR,Fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,VWC_5,VWC_25,VWC_50,VWC_100,VWC_150,VWC_200
1.553325,112.2415662,0.930286345,182.5345605,13.67874684,28.541,22.7265,18.14426838,43.3,0.28075,0.042333333,0.033,0.033,0.037666667,0.054,0.128
-14.98,1362.750502,0.700155509,822.8110767,352.3722454,32.71,22.6535,31.27692334,21.27833333,0.2829,0.040333333,0.033,0.034,0.033666667,0.053166667,0.126
-9.1647,524.9023603,0.906394672,563.2189289,58.16483034,32.659,26.483,23.54017477,40.58166667,0.283185,0.032833333,0.033,0.033,0.0355,0.057,0.142
-24.9915,1169.119545,0.672846631,831.1670583,404.13237,30.06,23.2115,18.17731708,47.56166667,0.286375,0.05,0.033,0.034,0.035833333,0.0515,0.127
-13.557,1582.740385,0.270086042,438.842083,1185.981175,32.149,22.2185,33.33743226,13.63166667,0.289625,0.038833333,0.033,0.034,0.0325,0.051,0.124
-29.0355,1317.829534,0.430546865,608.7215913,805.1119331,31.1235,25.9585,18.12566424,50.5,0.29303,0.0815,0.033,0.033333333,0.036333333,0.055166667,0.131833333
-9.55585,336.6447685,0.833097153,387.260351,77.58381469,29.6155,24.405,13.66582629,59.63333333,0.2959,0.092,0.033,0.033,0.0385,0.055666667,0.132
-2.51511,188.1972923,0.719674286,219.3464071,85.43925964,30.3645,23.1035,22.08850255,37.24666667,0.301225,0.033,0.033,0.034,0.037166667,0.057,0.138
0.870525,56.76755639,0.98305221,132.1342228,2.277989985,27.622,20.18,14.76933,51.66,0.30281,0.046,0.033,0.033,0.038,0.051,0.127
-20.9355,1354.713343,0.275590021,448.5888418,1179.150941,30.3725,22.1965,25.18187188,28.485,0.31435,0.046333333,0.033,0.034,0.036,0.051,0.127
-10.02545,870.1763528,0.730434887,676.9196893,249.8154667,30.83,21.6265,25.70880436,28.71333333,0.319125,0.046,0.033,0.033666667,0.036,0.051,0.127
-12.6467,406.3402106,0.885539002,629.8466951,81.41130005,30.4635,22.3935,17.01882227,51.94166667,0.320595,0.049,0.033,0.034,0.036666667,0.051,0.127
-26.4365,1087.610552,0.66511749,757.5212014,381.4072033,30.7305,22.57,20.24433543,43.59833333,0.32215,0.049166667,0.033,0.034,0.036,0.051,0.127
-10.0919,633.3412931,0.51695134,358.5947771,335.0774296,33.191,26.3185,25.88387164,36.42833333,0.32288,0.032666667,0.033,0.033,0.035666667,0.057,0.142
-11.093,325.7705397,0.926037347,381.4389214,30.46554743,32.6765,26.188,19.25037826,51.44666667,0.32933,0.035,0.033,0.034,0.0365,0.0595,0.152
-16.49,1454.051233,0.355264648,555.0890722,1007.37732,31.5935,23.535,25.44703337,32.22333333,0.32945,0.043166667,0.033,0.034,0.035333333,0.054,0.128
-20.573,688.6851899,0.627182203,518.0497217,307.9458491,31.056,25.6765,16.62328847,54.42833333,0.33232,0.079666667,0.033,0.033,0.037666667,0.055,0.131
-14.4845,1589.064039,0.324694932,535.41967,1113.573332,30.8575,24.245,25.1320007,30.40666667,0.33253,0.048,0.033,0.034,0.034,0.055,0.13
-18.132,1784.276511,0.255420602,433.5940104,1263.974656,29.868,22.4365,24.32270342,29.115,0.336135,0.046,0.033,0.034,0.035333333,0.051333333,0.127
-24.4225,1289.152233,0.524379384,770.507268,698.8626023,31.651,22.9965,28.64702212,23.83666667,0.347075,0.037666667,0.033,0.034,0.033,0.053166667,0.125
-8.3934,641.9980755,0.326140812,269.4000499,556.6236808,32.964,23.7615,30.99191903,22.99833333,0.34788,0.034,0.033,0.034,0.035833333,0.06,0.16
-1.935,870.2180265,0.307824122,334.6213363,752.432316,34.7095,25.24,32.4102592,26.26833333,0.3479,0.032,0.033,0.034,0.035,0.06,0.156
5.2731,101.1825296,0.875369863,167.7845502,23.8882013,26.4945,20.9615,13.29591496,53.885,0.35885,0.061,0.033,0.033666667,0.0385,0.053,0.1265
-12.69,573.2823201,0.917385001,680.6704493,61.29769751,30.7885,22.27,17.27937567,51.97,0.368565,0.036166667,0.033,0.033,0.034666667,0.051,0.125
