Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
27.24809311,14.99060478,-17.01287441,22.19086864,25.9765078,-11.00622647,24.84957849,155.5239844,-113.254104,-35.23251227,-77.36661671,190.3336906,-62.17056479,-80.09391596,-37.44811622,104.6640671,-60.27403399,0.361962533
-63.12834321,13.21668971,28.56558764,-74.67931234,29.62470383,-81.98906372,-125.6283264,161.7324161,-10.94699215,255.160681,-187.2160125,-45.33518925,-87.28135085,-90.46874225,-171.7056641,50.8170287,-56.03799171,0.68431224
-10.84713219,-40.64448093,11.92775385,-64.10865359,35.81836513,-4.296708957,77.82893838,15.82017547,2.300806488,-53.55777677,5.434659771,61.6248368,88.77479281,-36.69626003,-130.0269218,-24.00622891,-55.75080003,0.637085124
73.95338985,-73.30072487,-4.088554077,-58.2073391,4.913698241,38.9644723,55.98781162,-149.1057133,28.98427162,-82.3845365,89.2373846,3.249259198,13.53797033,18.4711892,-63.92046607,-52.75490182,-55.7322545,0.579857634
43.80633942,-0.667914057,-28.20387035,-17.43742047,22.97748444,-22.38653016,21.43682205,38.98858694,-21.04367488,-28.02720513,2.486216589,-2.98351613,-19.16507299,6.296141302,-76.79455949,-35.90153469,-55.61221362,0.262648321
-191.9265657,139.3511743,-25.01879342,104.0871814,65.28935473,-37.23428737,-79.41360191,345.1533185,-213.0113977,54.09319583,-237.3745172,-40.52604599,-75.00306785,-31.70895737,-22.90680316,-40.91512598,-52.71061797,0.51473
-85.12334605,33.08529564,-46.18715224,63.20943044,29.80306584,-16.84847013,-59.16861557,159.7720705,-110.2478138,87.80727532,-97.94227543,23.29431449,-75.66312808,-21.08634207,1.783806388,-69.31591725,-52.54841734,0.509586944
-200.8809016,131.4921068,-73.05188538,-126.3120364,-18.78075193,-52.22622118,-90.36750578,374.0150818,108.5751304,112.4710352,-156.6444434,-9.995601469,-185.9156064,142.442793,-47.35539,6.584232298,-51.61010238,0.528663007
-64.75704349,-16.31349939,-31.08243964,-15.88805671,24.78028764,30.50283236,-22.30383416,114.0750412,-46.32640582,36.5921829,-50.31049619,8.340439207,-70.69752357,15.35724209,-16.56198198,-36.18212747,-50.23573126,0.466457204
-145.6751383,17.0552552,-49.81114823,16.26656751,11.62532692,36.94191807,-59.53231039,195.2484219,-72.21265373,119.9481683,-127.6283609,49.83633058,-124.9296315,43.62206606,3.874169476,-65.02638819,-50.06595089,0.485878535
30.59789329,-47.11010121,-47.65970584,46.55395053,-91.92468859,-100.4743682,-31.63046628,-133.3740663,98.87830012,-12.85092187,112.7396463,55.07175235,71.23994552,-104.9652111,-49.30851959,-76.65576613,-49.72834833,0.727454065
198.0387545,38.93361256,-81.75682444,-54.88824803,-168.9364901,23.63392701,-97.82486049,-104.1228395,-25.63307986,-40.45992453,9.570855652,43.20835303,86.95871303,-12.66348218,-103.422935,-138.1215214,-49.13479063,0.646736066
-43.00732913,15.14284599,-50.54618687,-19.21058659,23.80379302,-9.148532461,-36.14292316,147.0508569,-35.67895705,78.85314792,-58.02810261,16.56453693,-83.25518243,19.2525783,-32.16462021,-50.77412391,-49.02037552,0.449812404
-190.8487692,63.83064239,62.2628088,-89.81722584,49.76406451,2.397604409,-26.44330341,333.5007479,25.96364184,43.15216618,-69.12942458,57.55500211,-228.9919145,161.9182772,-41.39290378,36.37002089,-48.16752498,0.54125754
80.773029,-77.16205743,22.27092839,61.81710276,-78.48693277,15.60808664,-1.047060798,24.50600662,-61.38557048,-24.98692873,42.79146974,3.177103923,-70.16408571,24.71617871,59.72519094,17.31012977,-46.94323661,0.340635754
46.40120403,-38.86877543,-49.55710035,55.07252739,-51.65022306,-63.9861628,-1.429507139,-130.5078334,63.5118041,-39.53121014,69.81289198,22.77548116,90.48941021,-100.1978815,12.67258313,-19.68820614,-46.4620081,0.548428167
-71.66007813,8.585576052,-45.27159231,11.06095968,6.708780316,5.172983345,-48.92052491,99.19159269,-41.88348147,78.76723133,-55.18156058,36.48243377,-82.40032197,11.99492082,12.78615267,-57.57540955,-43.47770192,0.542265131
-351.1261934,189.3976096,-44.51871647,-158.9382801,-22.45108971,-46.87756419,-125.6061382,512.4692986,82.84118808,74.90927455,-250.3069061,79.37102344,-273.7976684,148.4063446,79.75994239,159.9667344,-43.47319308,0.362272555
22.45380823,-36.60560815,6.225572634,-114.7330441,57.08396901,85.70764565,27.5168503,-103.8268843,41.15844022,-67.97075267,66.38555743,-3.031569536,-139.3931901,75.45331716,-41.03526156,-3.325122094,-43.45454867,0.340017148
-283.3613851,52.87432391,-35.99442436,-48.6030563,71.8826787,30.28541392,-72.06759794,383.9286195,-124.9197309,174.9655233,-172.9504298,54.36238353,-170.93461,39.97336659,56.566178,-61.13165092,-42.4915537,0.440612448
299.2136736,52.53660902,-17.36698878,280.5205984,40.01025319,-122.7370221,-108.3130519,-426.113351,18.6086543,33.74492393,290.2727669,219.2109025,0.486798105,-311.4984366,-6.826861191,-21.68482536,-41.59316587,0.531970388
-69.00396436,20.19785796,-43.47497492,-34.83474699,39.36358486,0.188740042,-48.22353927,163.7046529,-60.74606501,105.6379735,-67.61465368,16.80925938,-108.5010854,13.14518776,-18.32264524,-29.16587691,-40.44472645,0.546047256
